,Nuclide,Chemical Form,Half-life,Einh (50) (Sv/Bq)
0,Sulphur-37,vapour,5.05 min,1.1E-11
1,Sulphur-38,vapour,170.3 min,2.0E-10
2,Ruthenium-95,tetroxide,1.643 h,4.6E-11
3,Tellurium-117,vapour,62 min,2.9E-11
4,Tellurium-118,vapour,6.00 d,1.9E-09
5,Tellurium-119,vapour,16.03 h,1.0E-10
6,Tellurium-119m,vapour,4.70 d,6.3E-10
7,Elemental iodine-118,Elemental,13.7 min,1.7E-10
8,Methyl iodine-118,Methyl,13.7 min,9.7E-11
9,Elemental iodine-119,Elemental,19.1 min,5.6E-11
10,Methyl iodine-119,Methyl,19.1 min,1.7E-11
11,Elemental iodine-122,Elemental,23.63 min,1.9E-11
12,Methyl iodine-122,Methyl,23.63 min,1.1E-12
13,Mercury-187,vapour,2.2 min,1.8E-11
14,Mercury-187m,vapour,2.4 min,2.2E-11
15,Mercury-188,vapour,3.25 min,1.7E-11
16,Mercury-190,vapour,20.0 min,9.6E-11
17,Mercury-191m,vapour,50.8 min,3.2E-10
18,Mercury-192,vapour,4.85 h,1.0E-09
19,Mercury-205,vapour,5.2 min,1.3E-11
20,Mercury-206,vapour,8.15 min,4.2E-11
